gene,species,lam
334,Loxosoma_pectinaricola,0.00001
348,Homo_sapiens,0.00001
374,Amphimedon_queenslandica,0.00001
142,Lottia_gigantea,0.00001
165,Amphimedon_queenslandica,0.00001
209,Loxosoma_pectinaricola,0.00001
212,Drosophila_melanogaster,0.00001
219,Phoronis_vancouverensis,0.00001
198,Mnemiopsis_leidyi,0.00001
1,Capitella_teleta,0.0001
2,Capitella_teleta,0.0001
4,Capitella_teleta,0.0001
5,Capitella_teleta,0.0001
11,Capitella_teleta,0.0001
12,Capitella_teleta,0.0001
16,Capitella_teleta,0.0001
18,Adineta_ricciae,0.0001
18,Gallus_gallus,0.0001
19,Loxosoma_pectinaricola,0.0001
19,Baseodiscus_unicolor,0.0001
20,Capitella_teleta,0.0001
23,Baseodiscus_unicolor,0.0001
26,Xenoturbella_bocki,0.0001
30,Capitella_teleta,0.0001
31,Capitella_teleta,0.0001
33,Loxosoma_pectinaricola,0.0001
34,Capitella_teleta,0.0001
36,Baseodiscus_unicolor,0.0001
39,Capitella_teleta,0.0001
41,Capitella_teleta,0.0001
44,Capitella_teleta,0.0001
47,Capitella_teleta,0.0001
49,Gnathostomula_paradoxa,0.0001
50,Capitella_teleta,0.0001
52,Adineta_ricciae,0.0001
52,Capitella_teleta,0.0001
56,Loxosoma_pectinaricola,0.0001
59,Capitella_teleta,0.0001
60,Capitella_teleta,0.0001
60,Priapulus_sp,0.0001
62,Xenoturbella_bocki,0.0001
67,Baseodiscus_unicolor,0.0001
70,Capitella_teleta,0.0001
72,Drosophila_melanogaster,0.0001
72,Capitella_teleta,0.0001
73,Capitella_teleta,0.0001
78,Capitella_teleta,0.0001
79,Capitella_teleta,0.0001
80,Capitella_teleta,0.0001
84,Xenoturbella_bocki,0.0001
