species,gene,lam,k,rep,error
40,62,0,3,11,800
30,62,0,3,11,800
13,62,0,3,11,800
40,63,0,3,11,800
30,63,0,3,11,800
13,63,0,3,11,800
43,63,0,3,11,800
17,63,0,3,11,800
40,68,0,3,11,800
30,68,0,3,11,800
13,68,0,3,11,800
67,68,0,3,11,800
43,68,0,3,11,800
45,68,0,3,11,800
5,68,0,3,11,800
37,68,0,3,11,800
73,69,0,3,11,800
94,71,0,3,11,800
90,71,0,3,11,800
97,74,0,3,11,800
11,79,0,3,11,800
19,79,0,3,11,800
47,79,0,3,11,800
18,79,0,3,11,800
77,79,0,3,11,800
15,79,0,3,11,800
99,83,0,3,11,800
0,86,0,3,11,800
99,86,0,3,11,800
97,89,0,3,11,800
92,89,0,3,11,800
88,90,0,3,11,800
95,94,0,3,11,800
93,94,0,3,11,800
16,95,0,3,11,800
88,95,0,3,11,800
39,95,0,3,11,800
40,96,0,3,11,800
30,96,0,3,11,800
13,96,0,3,11,800
23,98,0,3,11,800
39,99,0,3,11,800
98,99,0,3,11,800
81,2,0.00001,3,11,800
61,2,0.00001,3,11,800
65,2,0.00001,3,11,800
23,2,0.00001,3,11,800
9,2,0.00001,3,11,800
6,2,0.00001,3,11,800
98,2,0.00001,3,11,800
40,4,0.00001,3,11,800
30,4,0.00001,3,11,800
13,4,0.00001,3,11,800
79,6,0.00001,3,11,800
37,6,0.00001,3,11,800
40,11,0.00001,3,11,800
30,11,0.00001,3,11,800
13,11,0.00001,3,11,800
90,13,0.00001,3,11,800
7,17,0.00001,3,11,800
4,17,0.00001,3,11,800
45,17,0.00001,3,11,800
5,17,0.00001,3,11,800
68,17,0.00001,3,11,800
48,17,0.00001,3,11,800
22,17,0.00001,3,11,800
36,17,0.00001,3,11,800
73,21,0.00001,3,11,800
72,21,0.00001,3,11,800
23,22,0.00001,3,11,800
94,22,0.00001,3,11,800
98,22,0.00001,3,11,800
97,22,0.00001,3,11,800
92,22,0.00001,3,11,800
40,24,0.00001,3,11,800
30,24,0.00001,3,11,800
13,24,0.00001,3,11,800
23,25,0.00001,3,11,800
